!SIL 1.0	SIL
<UNK> 1.0	spn
mùa 1.0	m uo2
mùi 1.0	m u2 j2
măng 1.0	m a_X1 N1
mĩ 1.0	m i4
mũi 1.0	m u4 j4
mơ 1.0	m 71
mưa 1.0	m M71
mưu 1.0	m M1 w1
mươi 1.0	m M71 j1
mướp 1.0	m M75b p5b
mười 1.0	m M72 j2
mượt 1.0	m M76b t6b
mạch 1.0	m E_X6b k6b
mạng 1.0	m a6a N6a
mạnh 1.0	m E_X6a J6a
mạo 1.0	m a6a w6a
mả 1.0	m a3
mảnh 1.0	m E_X3 J3
mất 1.0	m 7_X5b t5b
mấy 1.0	m 7_X5a j5a
mầm 1.0	m 7_X2 m2
mầu 1.0	m 7_X2 w2
mẫu 1.0	m 7_X4 w4
mật 1.0	m 7_X6b t6b
mậu 1.0	m 7_X6a w6a
mắc 1.0	m a_X5b k5b
mắm 1.0	m a_X5a m5a
mắng 1.0	m a_X5a N5a
mắt 1.0	m a_X5b t5b
mặc 1.0	m a_X6b k6b
mặt 1.0	m a_X6b t6b
mẹ 1.0	m E6a
